"period","nonrevolving","revolving","student"
1943-01-01,"6577.83",NA,NA
1943-02-01,"6463.04",NA,NA
1943-03-01,"6234.21",NA,NA
1943-04-01,"6125.75",NA,NA
1943-05-01,"5936.26",NA,NA
1943-06-01,"5822.23",NA,NA
1943-07-01,"5718.37",NA,NA
1943-08-01,"5638.75",NA,NA
1943-09-01,"5647.59",NA,NA
1943-10-01,"5650.74",NA,NA
1943-11-01,"5576.87",NA,NA
1943-12-01,"5462.52",NA,NA
1944-01-01,"5398.57",NA,NA
1944-02-01,"5354.36",NA,NA
1944-03-01,"5370.36",NA,NA
1944-04-01,"5379.18",NA,NA
1944-05-01,"5430.50",NA,NA
1944-06-01,"5467.79",NA,NA
1944-07-01,"5498.20",NA,NA
1944-08-01,"5533.96",NA,NA
1944-09-01,"5549.23",NA,NA
1944-10-01,"5565.93",NA,NA
1944-11-01,"5570.10",NA,NA
1944-12-01,"5585.69",NA,NA
1945-01-01,"5602.73",NA,NA
1945-02-01,"5573.81",NA,NA
1945-03-01,"5667.69",NA,NA
1945-04-01,"5582.45",NA,NA
1945-05-01,"5605.25",NA,NA
1945-06-01,"5704.45",NA,NA
1945-07-01,"5748.78",NA,NA
1945-08-01,"5767.01",NA,NA
1945-09-01,"5758.27",NA,NA
1945-10-01,"5932.02",NA,NA
1945-11-01,"6095.55",NA,NA
1945-12-01,"6567.05",NA,NA
1946-01-01,"6504.51",NA,NA
1946-02-01,"6765.95",NA,NA
1946-03-01,"7005.45",NA,NA
1946-04-01,"7333.22",NA,NA
1946-05-01,"7532.37",NA,NA
1946-06-01,"7702.21",NA,NA
1946-07-01,"7933.64",NA,NA
1946-08-01,"8345.16",NA,NA
1946-09-01,"8599.60",NA,NA
1946-10-01,"8895.14",NA,NA
1946-11-01,"9218.28",NA,NA
1946-12-01,"9444.39",NA,NA
1947-01-01,"9770.20",NA,NA
1947-02-01,"10089.00",NA,NA
1947-03-01,"10345.85",NA,NA
1947-04-01,"10645.94",NA,NA
1947-05-01,"10926.31",NA,NA
1947-06-01,"11135.65",NA,NA
1947-07-01,"11364.12",NA,NA
1947-08-01,"11582.88",NA,NA
1947-09-01,"11860.30",NA,NA
1947-10-01,"12205.13",NA,NA
1947-11-01,"12534.87",NA,NA
1947-12-01,"12855.62",NA,NA
1948-01-01,"13228.61",NA,NA
1948-02-01,"13524.28",NA,NA
1948-03-01,"13921.24",NA,NA
1948-04-01,"14264.07",NA,NA
1948-05-01,"14500.28",NA,NA
1948-06-01,"14775.27",NA,NA
1948-07-01,"15041.57",NA,NA
1948-08-01,"15229.70",NA,NA
1948-09-01,"15515.14",NA,NA
1948-10-01,"15579.62",NA,NA
1948-11-01,"15603.37",NA,NA
1948-12-01,"15803.23",NA,NA
1949-01-01,"15901.70",NA,NA
1949-02-01,"16009.26",NA,NA
1949-03-01,"16092.98",NA,NA
1949-04-01,"16413.20",NA,NA
1949-05-01,"16638.10",NA,NA
1949-06-01,"16860.93",NA,NA
1949-07-01,"17061.10",NA,NA
1949-08-01,"17355.49",NA,NA
1949-09-01,"17695.16",NA,NA
1949-10-01,"18021.32",NA,NA
1949-11-01,"18435.99",NA,NA
1949-12-01,"18772.21",NA,NA
1950-01-01,"19050.87",NA,NA
1950-02-01,"19371.63",NA,NA
1950-03-01,"19734.83",NA,NA
1950-04-01,"20148.38",NA,NA
1950-05-01,"20621.68",NA,NA
1950-06-01,"21118.84",NA,NA
1950-07-01,"22086.29",NA,NA
1950-08-01,"22728.26",NA,NA
1950-09-01,"23171.57",NA,NA
1950-10-01,"23242.15",NA,NA
1950-11-01,"23258.56",NA,NA
1950-12-01,"23229.16",NA,NA
1951-01-01,"23797.60",NA,NA
1951-02-01,"24109.42",NA,NA
1951-03-01,"24280.96",NA,NA
1951-04-01,"24076.15",NA,NA
1951-05-01,"23994.88",NA,NA
1951-06-01,"23841.03",NA,NA
1951-07-01,"23706.57",NA,NA
1951-08-01,"23940.11",NA,NA
1951-09-01,"24098.29",NA,NA
1951-10-01,"24288.01",NA,NA
1951-11-01,"24639.74",NA,NA
1951-12-01,"24627.95",NA,NA
1952-01-01,"24801.92",NA,NA
1952-02-01,"25151.92",NA,NA
1952-03-01,"25195.58",NA,NA
1952-04-01,"25548.05",NA,NA
1952-05-01,"26146.47",NA,NA
1952-06-01,"26762.43",NA,NA
1952-07-01,"27210.19",NA,NA
1952-08-01,"27468.78",NA,NA
1952-09-01,"27869.82",NA,NA
1952-10-01,"28496.56",NA,NA
1952-11-01,"29049.11",NA,NA
1952-12-01,"29685.58",NA,NA
1953-01-01,"30479.45",NA,NA
1953-02-01,"30886.61",NA,NA
1953-03-01,"31639.33",NA,NA
1953-04-01,"32117.35",NA,NA
1953-05-01,"32431.82",NA,NA
1953-06-01,"32501.58",NA,NA
1953-07-01,"32792.30",NA,NA
1953-08-01,"33060.61",NA,NA
1953-09-01,"33255.74",NA,NA
1953-10-01,"33482.28",NA,NA
1953-11-01,"33558.31",NA,NA
1953-12-01,"33696.92",NA,NA
1954-01-01,"34064.90",NA,NA
1954-02-01,"33701.35",NA,NA
1954-03-01,"33507.66",NA,NA
1954-04-01,"33706.50",NA,NA
1954-05-01,"33704.80",NA,NA
1954-06-01,"33815.39",NA,NA
1954-07-01,"34057.20",NA,NA
1954-08-01,"34009.56",NA,NA
1954-09-01,"34137.28",NA,NA
1954-10-01,"34363.37",NA,NA
1954-11-01,"34608.56",NA,NA
1954-12-01,"35028.27",NA,NA
1955-01-01,"35372.51",NA,NA
1955-02-01,"35925.41",NA,NA
1955-03-01,"36530.32",NA,NA
1955-04-01,"37235.21",NA,NA
1955-05-01,"37736.78",NA,NA
1955-06-01,"38536.67",NA,NA
1955-07-01,"39029.43",NA,NA
1955-08-01,"39732.77",NA,NA
1955-09-01,"40394.19",NA,NA
1955-10-01,"40833.66",NA,NA
1955-11-01,"41366.82",NA,NA
1955-12-01,"41869.03",NA,NA
1956-01-01,"42120.13",NA,NA
1956-02-01,"42561.07",NA,NA
1956-03-01,"43205.25",NA,NA
1956-04-01,"43383.97",NA,NA
1956-05-01,"43799.61",NA,NA
1956-06-01,"44053.63",NA,NA
1956-07-01,"44173.42",NA,NA
1956-08-01,"44498.86",NA,NA
1956-09-01,"44778.98",NA,NA
1956-10-01,"44934.15",NA,NA
1956-11-01,"45400.79",NA,NA
1956-12-01,"45448.24",NA,NA
1957-01-01,"45700.50",NA,NA
1957-02-01,"46042.24",NA,NA
1957-03-01,"46245.30",NA,NA
1957-04-01,"46517.42",NA,NA
1957-05-01,"46838.04",NA,NA
1957-06-01,"47000.29",NA,NA
1957-07-01,"47368.47",NA,NA
1957-08-01,"47646.21",NA,NA
1957-09-01,"47741.48",NA,NA
1957-10-01,"47879.00",NA,NA
1957-11-01,"47959.67",NA,NA
1957-12-01,"48078.27",NA,NA
1958-01-01,"48292.47",NA,NA
1958-02-01,"48097.52",NA,NA
1958-03-01,"47773.44",NA,NA
1958-04-01,"47662.50",NA,NA
1958-05-01,"47618.28",NA,NA
1958-06-01,"47507.36",NA,NA
1958-07-01,"47552.28",NA,NA
1958-08-01,"47592.98",NA,NA
1958-09-01,"47712.92",NA,NA
1958-10-01,"47823.17",NA,NA
1958-11-01,"47987.48",NA,NA
1958-12-01,"48394.35",NA,NA
1959-01-01,"48961.16",NA,NA
1959-02-01,"49513.71",NA,NA
1959-03-01,"50007.73",NA,NA
1959-04-01,"50463.43",NA,NA
1959-05-01,"51007.24",NA,NA
1959-06-01,"51675.44",NA,NA
1959-07-01,"52356.85",NA,NA
1959-08-01,"53038.53",NA,NA
1959-09-01,"53683.75",NA,NA
1959-10-01,"54365.95",NA,NA
1959-11-01,"54794.81",NA,NA
1959-12-01,"56010.68",NA,NA
1960-01-01,"56015.58",NA,NA
1960-02-01,"56364.63",NA,NA
1960-03-01,"56862.88",NA,NA
1960-04-01,"57711.40",NA,NA
1960-05-01,"57951.03",NA,NA
1960-06-01,"58387.06",NA,NA
1960-07-01,"58746.71",NA,NA
1960-08-01,"58947.15",NA,NA
1960-09-01,"59364.65",NA,NA
1960-10-01,"59628.99",NA,NA
1960-11-01,"59874.01",NA,NA
1960-12-01,"60025.31",NA,NA
1961-01-01,"60671.85",NA,NA
1961-02-01,"60310.13",NA,NA
1961-03-01,"60455.46",NA,NA
1961-04-01,"60075.87",NA,NA
1961-05-01,"60179.69",NA,NA
1961-06-01,"60334.75",NA,NA
1961-07-01,"60395.98",NA,NA
1961-08-01,"60619.48",NA,NA
1961-09-01,"60883.09",NA,NA
1961-10-01,"61158.22",NA,NA
1961-11-01,"61748.29",NA,NA
1961-12-01,"62248.53",NA,NA
1962-01-01,"62282.80",NA,NA
1962-02-01,"62640.35",NA,NA
1962-03-01,"63128.57",NA,NA
1962-04-01,"63866.91",NA,NA
1962-05-01,"64601.04",NA,NA
1962-06-01,"65137.42",NA,NA
1962-07-01,"65512.18",NA,NA
1962-08-01,"66055.12",NA,NA
1962-09-01,"66438.33",NA,NA
1962-10-01,"67028.88",NA,NA
1962-11-01,"67642.10",NA,NA
1962-12-01,"68126.72",NA,NA
1963-01-01,"68656.46",NA,NA
1963-02-01,"69376.75",NA,NA
1963-03-01,"70073.41",NA,NA
1963-04-01,"70801.61",NA,NA
1963-05-01,"71335.14",NA,NA
1963-06-01,"71875.59",NA,NA
1963-07-01,"72716.45",NA,NA
1963-08-01,"73576.16",NA,NA
1963-09-01,"74169.77",NA,NA
1963-10-01,"75112.95",NA,NA
1963-11-01,"75606.92",NA,NA
1963-12-01,"76581.45",NA,NA
1964-01-01,"77461.36",NA,NA
1964-02-01,"78336.23",NA,NA
1964-03-01,"79240.41",NA,NA
1964-04-01,"79908.16",NA,NA
1964-05-01,"80834.52",NA,NA
1964-06-01,"81428.18",NA,NA
1964-07-01,"82294.50",NA,NA
1964-08-01,"82973.05",NA,NA
1964-09-01,"83921.97",NA,NA
1964-10-01,"84530.18",NA,NA
1964-11-01,"84944.03",NA,NA
1964-12-01,"85959.57",NA,NA
1965-01-01,"87182.59",NA,NA
1965-02-01,"88152.04",NA,NA
1965-03-01,"88916.07",NA,NA
1965-04-01,"90047.41",NA,NA
1965-05-01,"90885.88",NA,NA
1965-06-01,"91830.09",NA,NA
1965-07-01,"92694.63",NA,NA
1965-08-01,"93287.10",NA,NA
1965-09-01,"94126.48",NA,NA
1965-10-01,"94804.53",NA,NA
1965-11-01,"95405.27",NA,NA
1965-12-01,"95954.72",NA,NA
1966-01-01,"97030.72",NA,NA
1966-02-01,"97758.36",NA,NA
1966-03-01,"98446.39",NA,NA
1966-04-01,"98805.09",NA,NA
1966-05-01,"99305.44",NA,NA
1966-06-01,"99788.67",NA,NA
1966-07-01,"100061.44",NA,NA
1966-08-01,"100586.70",NA,NA
1966-09-01,"100672.45",NA,NA
1966-10-01,"100953.07",NA,NA
1966-11-01,"101437.35",NA,NA
1966-12-01,"101788.22",NA,NA
1967-01-01,"102198.55",NA,NA
1967-02-01,"102362.59",NA,NA
1967-03-01,"102732.16",NA,NA
1967-04-01,"102885.94",NA,NA
1967-05-01,"103151.40",NA,NA
1967-06-01,"103741.04",NA,NA
1967-07-01,"104094.25",NA,NA
1967-08-01,"104677.52",NA,NA
1967-09-01,"105172.29",NA,NA
1967-10-01,"105440.72",NA,NA
1967-11-01,"106296.61",NA,NA
1967-12-01,"106842.64",NA,NA
1968-01-01,"105455.63","1316.77",NA
1968-02-01,"106569.64","1358.78",NA
1968-03-01,"107276.30","1412.75",NA
1968-04-01,"108119.91","1477.66",NA
1968-05-01,"108838.59","1538.42",NA
1968-06-01,"109453.37","1614.48",NA
1968-07-01,"110438.04","1685.67",NA
1968-08-01,"111075.84","1769.11",NA
1968-09-01,"111914.51","1839.73",NA
1968-10-01,"113273.13","1955.13",NA
1968-11-01,"114198.84","1997.21",NA
1968-12-01,"115357.55","2041.54",NA
1969-01-01,"116088.47","2137.51",NA
1969-02-01,"117232.70","2216.34",NA
1969-03-01,"118123.78","2307.70",NA
1969-04-01,"119085.12","2438.57",NA
1969-05-01,"119971.12","2593.69",NA
1969-06-01,"120652.71","2727.96",NA
1969-07-01,"121140.31","2863.67",NA
1969-08-01,"121611.48","2997.20",NA
1969-09-01,"122160.18","3158.96",NA
1969-10-01,"122692.79","3326.94",NA
1969-11-01,"123105.28","3463.95",NA
1969-12-01,"123551.35","3604.84",NA
1970-01-01,"124109.78","3693.21",NA
1970-02-01,"124388.57","3802.58",NA
1970-03-01,"124371.86","3908.14",NA
1970-04-01,"124341.19","4033.54",NA
1970-05-01,"124396.14","4137.90",NA
1970-06-01,"124905.34","4280.08",NA
1970-07-01,"125434.01","4422.89",NA
1970-08-01,"125642.21","4542.39",NA
1970-09-01,"126164.17","4686.66",NA
1970-10-01,"126277.15","4835.92",NA
1970-11-01,"125892.46","4914.97",NA
1970-12-01,"126590.09","4961.46",NA
1971-01-01,"126995.07","7168.98",NA
1971-02-01,"127700.05","7232.87",NA
1971-03-01,"128438.74","7297.56",NA
1971-04-01,"129532.62","7459.91",NA
1971-05-01,"130198.92","7642.01",NA
1971-06-01,"131029.09","7739.85",NA
1971-07-01,"132007.17","7900.86",NA
1971-08-01,"133207.31","8044.78",NA
1971-09-01,"134535.82","8230.75",NA
1971-10-01,"135613.18","8313.58",NA
1971-11-01,"137328.97","8305.86",NA
1971-12-01,"138684.84","8245.33",NA
1972-01-01,"139568.47","8092.01",NA
1972-02-01,"140830.72","8093.82",NA
1972-03-01,"142535.76","8235.30",NA
1972-04-01,"143894.00","8427.95",NA
1972-05-01,"145621.23","8578.25",NA
1972-06-01,"147367.30","8785.71",NA
1972-07-01,"148321.93","8957.98",NA
1972-08-01,"149806.20","9133.16",NA
1972-09-01,"151245.55","9307.74",NA
1972-10-01,"152834.96","9390.08",NA
1972-11-01,"154699.79","9401.80",NA
1972-12-01,"156809.86","9379.24",NA
1973-01-01,"159913.81","9380.86",NA
1973-02-01,"162096.12","9505.71",NA
1973-03-01,"164253.28","9655.66",NA
1973-04-01,"165937.83","9824.85",NA
1973-05-01,"168084.27","10043.68",NA
1973-06-01,"170082.20","10347.07",NA
1973-07-01,"171787.46","10530.74",NA
1973-08-01,"173525.75","10800.76",NA
1973-09-01,"174411.96","10933.55",NA
1973-10-01,"176288.39","11187.70",NA
1973-11-01,"177946.52","11362.28",NA
1973-12-01,"178744.09","11342.22",NA
1974-01-01,"179985.68","11326.78",NA
1974-02-01,"181188.92","11326.44",NA
1974-03-01,"181980.99","11377.00",NA
1974-04-01,"183021.12","11582.43",NA
1974-05-01,"183917.37","11952.53",NA
1974-06-01,"184598.24","12289.55",NA
1974-07-01,"185641.86","12651.67",NA
1974-08-01,"186290.11","13026.68",NA
1974-09-01,"186366.20","13250.92",NA
1974-10-01,"186004.12","13530.65",NA
1974-11-01,"185679.08","13575.61",NA
1974-12-01,"185676.58","13241.26",NA
1975-01-01,"185788.75","13274.85",NA
1975-02-01,"186286.19","13221.56",NA
1975-03-01,"185932.07","13177.87",NA
1975-04-01,"185400.23","13342.63",NA
1975-05-01,"185283.30","13453.92",NA
1975-06-01,"182452.41","13590.96",NA
1975-07-01,"183693.69","13885.67",NA
1975-08-01,"184044.04","14167.55",NA
1975-09-01,"184938.40","14490.56",NA
1975-10-01,"185623.24","14811.04",NA
1975-11-01,"186789.65","14703.24",NA
1975-12-01,"189506.73","14495.27",NA
1976-01-01,"191088.21","14432.58",NA
1976-02-01,"192358.93","14350.37",NA
1976-03-01,"194024.47","14314.10",NA
1976-04-01,"195904.02","14596.04",NA
1976-05-01,"196605.92","14801.50",NA
1976-06-01,"198154.30","15085.81",NA
1976-07-01,"199687.30","15585.40",NA
1976-08-01,"200609.32","15900.54",NA
1976-09-01,"202355.86","16352.92",NA
1976-10-01,"204119.91","16747.19",NA
1976-11-01,"206099.35","16705.57",NA
1976-12-01,"209232.54","16489.05",NA
1977-01-01,"195049.52","30683.63",NA
1977-02-01,"197994.31","30533.90",NA
1977-03-01,"201350.33","30997.94",NA
1977-04-01,"203776.39","31817.66",NA
1977-05-01,"206332.78","32685.31",NA
1977-06-01,"208978.57","33430.02",NA
1977-07-01,"211514.21","33966.85",NA
1977-08-01,"213868.73","34605.80",NA
1977-09-01,"215887.98","35373.81",NA
1977-10-01,"218941.91","36473.74",NA
1977-11-01,"221793.74","36979.17",NA
1977-12-01,"223147.88","37414.82",NA
1978-01-01,"225840.72","36924.59",NA
1978-02-01,"228843.81","36894.21",NA
1978-03-01,"232783.64","37479.17",NA
1978-04-01,"235793.94","38343.03",NA
1978-05-01,"239905.41","39351.16",NA
1978-06-01,"244553.78","40546.99",NA
1978-07-01,"247270.46","41535.08",NA
1978-08-01,"250331.25","42481.86",NA
1978-09-01,"252669.05","43510.36",NA
1978-10-01,"254367.42","44445.07",NA
1978-11-01,"257689.52","45040.68",NA
1978-12-01,"260409.43","45690.95",NA
1979-01-01,"264315.10","45587.99",NA
1979-02-01,"267716.65","45807.13",NA
1979-03-01,"270831.04","46369.70",NA
1979-04-01,"273554.91","47389.97",NA
1979-05-01,"276657.03","48520.36",NA
1979-06-01,"278767.47","49405.27",NA
1979-07-01,"281859.38","50130.61",NA
1979-08-01,"284513.99","51271.47",NA
1979-09-01,"287373.54","52076.21",NA
1979-10-01,"290070.61","53180.70",NA
1979-11-01,"292474.39","53915.02",NA
1979-12-01,"294992.67","53596.43",NA
1980-01-01,"296725.93","53749.77",NA
1980-02-01,"298927.10","54129.13",NA
1980-03-01,"298903.04","54139.08",NA
1980-04-01,"297327.17","53960.04",NA
1980-05-01,"294661.72","53982.82",NA
1980-06-01,"292912.84","53784.12",NA
1980-07-01,"293019.76","54051.61",NA
1980-08-01,"293131.90","54414.11",NA
1980-09-01,"293771.86","54391.28",NA
1980-10-01,"295240.42","54357.30",NA
1980-11-01,"295558.63","54445.86",NA
1980-12-01,"296950.00","54970.05",NA
1981-01-01,"297538.14","55491.18",NA
1981-02-01,"298933.64","55811.35",NA
1981-03-01,"300844.92","56282.22",NA
1981-04-01,"302007.54","57125.32",NA
1981-05-01,"303465.64","57767.16",NA
1981-06-01,"304001.45","58742.01",NA
1981-07-01,"305633.03","59044.70",NA
1981-08-01,"305855.27","59299.19",NA
1981-09-01,"309400.99","60194.75",NA
1981-10-01,"309829.36","60627.36",NA
1981-11-01,"311002.55","60757.36",NA
1981-12-01,"310373.44","60928.00",NA
1982-01-01,"313971.26","61196.10",NA
1982-02-01,"314908.25","61468.81",NA
1982-03-01,"315260.16","61625.25",NA
1982-04-01,"316379.45","62254.83",NA
1982-05-01,"317589.60","62849.21",NA
1982-06-01,"318500.20","63485.42",NA
1982-07-01,"318106.43","64340.66",NA
1982-08-01,"318058.26","64804.38",NA
1982-09-01,"319214.09","65141.16",NA
1982-10-01,"319521.05","65446.13",NA
1982-11-01,"321126.34","65640.31",NA
