"period","utilization","capacity","durable","nondurable"
1967-01-01,"89.3902","40.7115",NA,NA
1967-02-01,"87.9750","40.8973",NA,NA
1967-03-01,"87.0835","41.0830",NA,NA
1967-04-01,"87.5089","41.2689",NA,NA
1967-05-01,"86.3566","41.4547",NA,NA
1967-06-01,"85.9603","41.6406",NA,NA
1967-07-01,"85.3833","41.8266",NA,NA
1967-08-01,"86.6339","42.0126",NA,NA
1967-09-01,"86.1122","42.1984",NA,NA
1967-10-01,"86.4325","42.3845",NA,NA
1967-11-01,"87.2856","42.5705",NA,NA
1967-12-01,"87.8417","42.7566",NA,NA
1968-01-01,"87.3840","42.9343",NA,NA
1968-02-01,"87.3489","43.1054",NA,NA
1968-03-01,"87.2747","43.2768",NA,NA
1968-04-01,"87.0565","43.4480",NA,NA
1968-05-01,"87.6872","43.6194",NA,NA
1968-06-01,"87.6650","43.7907",NA,NA
1968-07-01,"87.1892","43.9621",NA,NA
1968-08-01,"87.0930","44.1335",NA,NA
1968-09-01,"87.0847","44.3049",NA,NA
1968-10-01,"86.9212","44.4763",NA,NA
1968-11-01,"87.7075","44.6477",NA,NA
1968-12-01,"87.6478","44.8192",NA,NA
1969-01-01,"87.8505","44.9864",NA,NA
1969-02-01,"88.0945","45.1489",NA,NA
1969-03-01,"88.4663","45.3116",NA,NA
1969-04-01,"87.8255","45.4743",NA,NA
1969-05-01,"87.1814","45.6371",NA,NA
1969-06-01,"87.7203","45.7999",NA,NA
1969-07-01,"87.8710","45.9627",NA,NA
1969-08-01,"87.7620","46.1256",NA,NA
1969-09-01,"87.4337","46.2884",NA,NA
1969-10-01,"87.1526","46.4512",NA,NA
1969-11-01,"86.0295","46.6141",NA,NA
1969-12-01,"85.4998","46.7770",NA,NA
1970-01-01,"83.6388","46.9323",NA,NA
1970-02-01,"83.3218","47.0799",NA,NA
1970-03-01,"82.9532","47.2276",NA,NA
1970-04-01,"82.4819","47.3754",NA,NA
1970-05-01,"82.1295","47.5232",NA,NA
1970-06-01,"81.6102","47.6709",NA,NA
1970-07-01,"81.5576","47.8188",NA,NA
1970-08-01,"81.1612","47.9666",NA,NA
1970-09-01,"80.3541","48.1144",NA,NA
1970-10-01,"78.5055","48.2623",NA,NA
1970-11-01,"77.7917","48.4102",NA,NA
1970-12-01,"79.3358","48.5581",NA,NA
1971-01-01,"79.7222","48.6944",NA,NA
1971-02-01,"79.3673","48.8189",NA,NA
1971-03-01,"79.0793","48.9437",NA,NA
1971-04-01,"79.3212","49.0684",NA,NA
1971-05-01,"79.5215","49.1932",NA,NA
1971-06-01,"79.6530","49.3179",NA,NA
1971-07-01,"79.2213","49.4428",NA,NA
1971-08-01,"78.5632","49.5676",NA,NA
1971-09-01,"79.6395","49.6924",NA,NA
1971-10-01,"80.0346","49.8172",NA,NA
1971-11-01,"80.1734","49.9420",NA,NA
1971-12-01,"80.8966","50.0669",NA,NA
1972-01-01,"82.6309","50.1939","24.4987","62.8754"
1972-02-01,"83.2224","50.3092","24.7816","62.8920"
1972-03-01,"83.6329","50.4274","24.9657","63.2678"
1972-04-01,"84.3047","50.5488","25.3639","63.6755"
1972-05-01,"84.0605","50.6723","25.3790","63.7815"
1972-06-01,"84.0815","50.7991","25.4518","64.0196"
1972-07-01,"83.8385","50.9292","25.5139","63.8524"
1972-08-01,"84.7183","51.0643","25.9104","64.4476"
1972-09-01,"85.1164","51.2052","26.1709","64.6210"
1972-10-01,"86.0400","51.3525","26.6512","65.3506"
1972-11-01,"86.7643","51.5064","27.1359","65.6775"
1972-12-01,"87.4841","51.6657","27.6124","66.3890"
1973-01-01,"87.7863","51.8283","27.9609","66.2698"
1973-02-01,"88.8041","51.9961","28.4876","67.1370"
1973-03-01,"88.5568","52.1684","28.5789","67.1232"
1973-04-01,"88.1173","52.3431","28.5413","67.0215"
1973-05-01,"88.3816","52.5208","28.7546","67.3528"
1973-06-01,"88.1377","52.7008","28.9384","66.6735"
1973-07-01,"88.2262","52.8798","29.1370","66.8202"
1973-08-01,"87.7708","53.0565","29.0167","66.7287"
1973-09-01,"88.2637","53.2305","29.3977","67.0004"
1973-10-01,"88.5844","53.4009","29.5802","67.7711"
1973-11-01,"88.7668","53.5669","29.7875","68.3556"
1973-12-01,"88.2936","53.7268","29.8003","68.4287"
1974-01-01,"87.4186","53.8832","29.2860","68.6815"
1974-02-01,"86.9061","54.0328","29.0804","68.6674"
1974-03-01,"86.6984","54.1762","29.0527","68.7167"
1974-04-01,"86.2269","54.3119","28.9634","68.3192"
1974-05-01,"86.6523","54.4416","29.1791","68.6420"
1974-06-01,"86.3959","54.5658","29.2486","68.6595"
1974-07-01,"86.2083","54.6831","29.1800","68.5540"
1974-08-01,"85.2002","54.7949","28.9056","68.0574"
1974-09-01,"85.0762","54.9026","29.1287","67.6056"
1974-10-01,"84.5895","55.0070","28.9413","66.9380"
1974-11-01,"81.6571","55.1057","28.0041","65.0192"
1974-12-01,"78.6514","55.2015","26.5772","62.5697"
1975-01-01,"77.4289","55.2949","25.9168","61.5824"
1975-02-01,"75.5159","55.3883","25.0941","60.1006"
1975-03-01,"74.5896","55.4810","24.8125","59.1523"
1975-04-01,"74.5534","55.5729","24.6049","59.6618"
1975-05-01,"74.2324","55.6661","24.3937","60.2194"
1975-06-01,"74.6224","55.7618","24.3361","61.6663"
1975-07-01,"75.1807","55.8596","24.5669","62.8486"
1975-08-01,"75.8416","55.9611","24.8785","63.4545"
1975-09-01,"76.6414","56.0662","25.3382","64.4019"
1975-10-01,"76.8165","56.1752","25.3297","65.2477"
1975-11-01,"76.8367","56.2877","25.3089","65.7763"
1975-12-01,"77.6335","56.4032","25.6695","66.5164"
1976-01-01,"78.6071","56.5213","26.1796","66.9113"
1976-02-01,"79.2031","56.6440","26.6077","67.8489"
1976-03-01,"79.0994","56.7690","26.7115","67.8080"
1976-04-01,"79.3764","56.8957","26.9958","67.8502"
1976-05-01,"79.5622","57.0241","27.2842","67.6879"
1976-06-01,"79.3737","57.1542","27.3351","67.5516"
1976-07-01,"79.6728","57.2846","27.5586","67.9781"
1976-08-01,"80.0470","57.4149","27.8762","67.9287"
1976-09-01,"80.0870","57.5456","27.6551","69.0249"
1976-10-01,"79.9324","57.6771","27.5216","69.3421"
1976-11-01,"80.9067","57.8102","28.0783","69.5003"
1976-12-01,"81.5636","57.9443","28.3881","70.2033"
1977-01-01,"80.9265","58.0780","28.2208","70.4465"
1977-02-01,"81.9643","58.2184","28.6979","71.7761"
1977-03-01,"82.7855","58.3617","29.3166","72.1454"
1977-04-01,"83.3159","58.5070","29.6459","72.7069"
1977-05-01,"83.8236","58.6563","30.0120","73.0331"
1977-06-01,"84.2205","58.8105","30.3800","73.2703"
1977-07-01,"84.1462","58.9680","30.4511","73.1070"
1977-08-01,"83.9313","59.1292","30.6246","73.2926"
1977-09-01,"84.0855","59.2942","30.6503","73.3580"
1977-10-01,"84.0357","59.4627","30.7081","73.6199"
1977-11-01,"83.8527","59.6345","30.6703","74.0556"
1977-12-01,"83.7426","59.8077","31.1238","74.4852"
1978-01-01,"82.3577","59.9812","30.4625","74.1373"
1978-02-01,"82.5274","60.1565","30.6883","73.9229"
1978-03-01,"83.8525","60.3321","31.4111","74.5631"
1978-04-01,"85.3473","60.5065","32.0323","75.4309"
1978-05-01,"85.3955","60.6806","32.1077","75.8905"
1978-06-01,"85.7449","60.8545","32.4108","76.3498"
1978-07-01,"85.4795","61.0263","32.5660","75.7050"
1978-08-01,"85.5449","61.1960","32.8519","75.7188"
1978-09-01,"85.5375","61.3641","33.0567","76.0161"
1978-10-01,"85.9996","61.5308","33.4511","76.0704"
1978-11-01,"86.3980","61.6949","33.8158","76.5981"
